Invoice ID,Branch,CustomerID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Longitude,Latitude
371-85-5789,B,C1217,Mandalay,Normal,Male,Health and beauty,87.98,4,,351.92,25-12-2019,10:40,Ewallet,263.94,4.761904762,87.98,6.12,96.0891,21.9588
273-16-6619,B,C1243,Mandalay,Normal,Male,Health and beauty,33.2,3,,99.6,01-05-2019,12:20,Credit card,66.4,4.761904762,33.2,5.28,96.0891,21.9588
636-48-8204,A,C1773,Yangon,Normal,Male,Health and beauty,34.56,5,,172.8,16-02-2019,11:15,Ewallet,172.8,4.761904762,0,9.9,96.1735,16.8409
549-59-1358,A,C1863,Yangon,Member,Male,Health and beauty,88.63,4,17.726,354.52,11-03-2019,17:36,Ewallet,265.89,4.761904762,88.63,6,96.1735,16.8409
227-03-5010,A,C1657,Yangon,Member,Female,Health and beauty,52.59,11,28.9245,578.49,08-11-2019,19:20,Credit card,420.72,4.761904762,157.77,8.5,96.1735,16.8409
649-29-6775,B,C1240,Mandalay,Normal,Male,Health and beauty,33.52,1,1.676,33.52,19-01-2019,15:31,Cash,33.52,4.761904762,0,8.04,96.0891,21.9588
189-17-4241,A,C1629,Yangon,Normal,Female,Health and beauty,87.67,2,8.767,175.34,04-09-2019,12:17,Credit card,175.34,4.761904762,0,7.7,96.1735,16.8409
145-94-9061,B,C1250,Mandalay,Normal,Female,Health and beauty,88.36,7,30.926,618.52,06-03-2019,19:48,Cash,441.8,4.761904762,176.72,10,96.0891,21.9588
848-62-7243,A,C1764,Yangon,Normal,,Health and beauty,24.89,9,11.2005,224.01,04-06-2019,15:36,Cash,224.01,4.761904762,0,7.4,96.1735,16.8409
871-79-8483,B,C1270,Mandalay,Normal,,Fashion accessories,94.13,7,32.9455,658.91,17-08-2019,19:39,Credit card,470.65,4.761904762,188.26,5.76,96.0891,21.9588
149-71-6266,B,C1246,Mandalay,Member,,Sports and travel,78.07,18,70.263,1405.26,18-01-2019,12:43,Cash,702.63,4.761904762,702.63,5.4,96.0891,21.9588
640-49-2076,B,C1212,Mandalay,Normal,,Sports and travel,83.78,11,46.079,921.58,15-06-2019,14:49,Cash,670.24,4.761904762,251.34,6.12,96.0891,21.9588
595-11-5460,A,C1773,Yangon,Normal,,Health and beauty,96.58,2,9.658,193.16,28-09-2019,10:12,Credit card,193.16,4.761904762,0,5.1,96.1735,16.8409
183-56-6882,C,C1396,Naypyitaw,Normal,,Food and beverages,99.42,5,,497.1,09-05-2019,10:42,Ewallet,397.68,4.761904762,99.42,7.875,96.0785,19.7633
232-16-2483,C,C1448,Naypyitaw,Normal,,Sports and travel,68.12,1,,68.12,12-07-2019,12:28,Ewallet,68.12,4.761904762,0,7.14,96.0785,19.7633
129-29-8530,A,C1882,Yangon,Normal,,Sports and travel,62.62,5,,313.1,08-05-2019,19:15,Ewallet,313.1,4.761904762,0,7,96.1735,16.8409
272-65-1806,A,C1770,Yangon,Normal,,Electronic accessories,60.88,9,,547.92,17-09-2019,17:17,Ewallet,547.92,4.761904762,0,4.7,96.1735,16.8409
333-73-7901,C,C1329,Naypyitaw,Normal,,Health and beauty,54.92,10,27.46,549.2,27-10-2019,13:24,Ewallet,439.36,4.761904762,109.84,7.98,96.0785,19.7633
777-82-7220,B,C1218,Mandalay,Normal,,Home and lifestyle,30.12,11,16.566,331.32,14-10-2019,13:01,Cash,240.96,4.761904762,90.36,9.24,96.0891,21.9588
280-35-5823,B,C1201,Mandalay,Normal,Female,Home and lifestyle,86.72,1,4.336,86.72,08-02-2019,18:45,Ewallet,86.72,4.761904762,0,9.48,96.0891,21.9588
554-53-8700,C,C1357,Naypyitaw,Normal,Male,Home and lifestyle,56.11,2,5.611,112.22,31-08-2019,10:11,Cash,112.22,4.761904762,0,6.615,96.0785,19.7633
354-25-5821,B,C1274,Mandalay,Normal,Female,Sports and travel,69.12,8,27.648,552.96,28-04-2019,13:03,Cash,414.72,4.761904762,138.24,6.72,96.0891,21.9588
228-96-1411,C,C1312,Naypyitaw,Normal,Female,Food and beverages,98.7,10,49.35,987,22-02-2019,20:39,Cash,789.6,4.761904762,197.4,7.98,96.0785,19.7633
617-15-4209,C,C1470,Naypyitaw,Normal,Male,Health and beauty,15.37,2,1.537,30.74,07-10-2019,19:47,Cash,30.74,4.761904762,0,7.56,96.0785,19.7633
132-32-9879,B,C1221,Mandalay,Normal,Female,Health and beauty,93.96,6,28.188,563.76,11-01-2019,18:00,Cash,375.84,4.761904762,187.92,10,96.0891,21.9588
370-41-7321,B,C1201,Mandalay,Normal,Male,Health and beauty,56.69,13,36.8485,736.97,25-02-2019,17:24,Credit card,510.21,4.761904762,226.76,10,96.0891,21.9588
727-46-3608,B,C1235,Mandalay,Normal,Female,Health and beauty,20.01,13,13.0065,260.13,07-02-2019,15:47,Ewallet,180.09,4.761904762,80.04,4.92,96.0891,21.9588
669-54-1719,B,C1202,Mandalay,Normal,Male,Health and beauty,18.93,8,7.572,151.44,16-10-2019,12:45,Credit card,113.58,4.761904762,37.86,9.72,96.0891,21.9588
574-22-5561,C,C1352,Naypyitaw,Normal,Female,Health and beauty,82.63,12,49.578,991.56,03-06-2019,17:08,Ewallet,826.3,4.761904762,165.26,8.295,96.0785,19.7633
326-78-5178,C,C1453,Naypyitaw,Normal,Male,Food and beverages,91.4,8,36.56,731.2,04-04-2019,10:19,Cash,639.8,4.761904762,91.4,9.975,96.0785,19.7633
162-48-8011,A,C1629,Yangon,Normal,Female,Food and beverages,44.59,5,11.1475,222.95,28-09-2019,15:10,Cash,222.95,4.761904762,0,8.5,96.1735,16.8409
616-24-2851,B,C1290,Mandalay,Normal,Female,Fashion accessories,17.87,6,5.361,107.22,30-12-2019,14:42,Ewallet,71.48,4.761904762,35.74,7.8,96.0891,21.9588
778-71-5554,C,C1401,Naypyitaw,Normal,Male,Fashion accessories,15.43,1,0.7715,15.43,15-09-2019,15:46,Credit card,15.43,4.761904762,0,6.405,96.0785,19.7633
242-55-6721,B,C1236,Mandalay,Normal,Male,Home and lifestyle,16.16,3,2.424,48.48,30-04-2019,11:49,Ewallet,32.32,4.761904762,16.16,7.8,96.0891,21.9588
399-46-5918,C,C1491,Naypyitaw,Normal,Female,Electronic accessories,85.98,10,42.99,859.8,19-02-2019,19:01,Cash,687.84,4.761904762,171.96,8.61,96.0785,19.7633
106-35-6779,A,C1882,Yangon,Normal,Male,Home and lifestyle,44.34,2,4.434,88.68,14-01-2019,11:26,,88.68,4.761904762,0,,96.1735,16.8409
635-40-6220,A,C1720,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,716.8,29-06-2019,11:28,,716.8,4.761904762,0,,96.1735,16.8409
817-48-8732,A,C1760,Yangon,Member,Female,Home and lifestyle,72.35,14,50.645,1012.9,28-01-2019,15:55,,723.5,4.761904762,289.4,,96.1735,16.8409
120-06-4233,C,C1365,Naypyitaw,Normal,Male,Electronic accessories,30.61,7,10.7135,214.27,07-05-2019,20:36,,183.66,4.761904762,30.61,,96.0785,19.7633
285-68-5083,C,C1409,Naypyitaw,,Female,Sports and travel,24.74,4,4.948,98.96,19-11-2019,17:47,,74.22,4.761904762,24.74,,96.0785,19.7633
803-83-5989,C,C1301,Naypyitaw,,Male,Home and lifestyle,55.73,7,,390.11,25-09-2019,10:55,,334.38,4.761904762,55.73,,96.0785,19.7633
347-34-2234,B,C1201,Mandalay,,Female,Sports and travel,55.07,13,35.7955,715.91,09-12-2019,13:40,,495.63,4.761904762,220.28,,96.0891,21.9588
199-75-8169,A,C1810,Yangon,,Male,Sports and travel,15.81,10,7.905,158.1,22-03-2019,12:27,,158.1,4.761904762,0,,96.1735,16.8409
853-23-2453,B,C1217,Mandalay,,Male,Health and beauty,75.74,6,22.722,454.44,04-10-2019,14:35,,302.96,4.761904762,151.48,,96.0891,21.9588
877-22-3308,A,C1846,Yangon,,Male,Health and beauty,15.87,10,7.935,158.7,19-06-2019,16:40,,158.7,4.761904762,0,,96.1735,16.8409
838-78-4295,C,C1472,Naypyitaw,,Female,Health and beauty,33.47,2,3.347,66.94,19-09-2019,15:43,,66.94,4.761904762,0,,96.0785,19.7633
109-28-2512,B,C1277,Mandalay,,Female,Fashion accessories,97.61,8,39.044,780.88,09-02-2019,15:01,,585.66,4.761904762,195.22,,96.0891,21.9588
232-11-3025,A,C1747,Yangon,,Male,Sports and travel,78.77,10,39.385,787.7,27-02-2019,10:04,Cash,787.7,4.761904762,0,,96.1735,16.8409
382-03-4532,A,C1760,Yangon,,Female,Health and beauty,18.33,1,0.9165,18.33,21-03-2019,18:50,Cash,18.33,4.761904762,0,,96.1735,16.8409
393-65-2792,C,C1329,Naypyitaw,,Male,Food and beverages,89.48,12,53.688,1073.76,02-06-2019,12:46,Credit card,894.8,4.761904762,178.96,10,96.0785,19.7633
796-12-2025,C,C1368,Naypyitaw,,Male,Fashion accessories,62.12,12,37.272,745.44,22-07-2019,16:19,Cash,621.2,4.761904762,124.24,6.195,96.0785,19.7633
510-95-6347,B,C1262,Mandalay,,Female,Food and beverages,48.52,4,9.704,194.08,17-12-2019,18:17,Ewallet,145.56,4.761904762,48.52,4.8,96.0891,21.9588
841-35-6630,C,C1302,Naypyitaw,,Female,Electronic accessories,75.91,7,26.5685,531.37,08-11-2019,18:21,Cash,455.46,4.761904762,75.91,9.135,96.0785,19.7633
287-21-9091,A,C1894,Yangon,,Male,Home and lifestyle,74.67,9,33.6015,672.03,31-03-2019,10:55,Ewallet,672.03,4.761904762,0,9.4,96.1735,16.8409
732-94-0499,C,C1477,Naypyitaw,,Female,Electronic accessories,41.65,12,24.99,499.8,12-12-2019,17:04,Credit card,416.5,4.761904762,83.3,5.67,96.0785,19.7633
263-10-3913,C,C1380,Naypyitaw,,Male,Fashion accessories,49.04,11,26.972,539.44,12-08-2019,14:20,Credit card,441.36,4.761904762,98.08,9.03,96.0785,19.7633
381-20-0914,A,C1775,Yangon,,Female,Fashion accessories,20.01,9,9.0045,180.09,05-12-2019,15:48,Credit card,180.09,4.761904762,0,5.7,96.1735,16.8409
829-49-1914,C,C1470,Naypyitaw,,Female,Food and beverages,78.31,12,,939.72,28-06-2019,16:24,Ewallet,783.1,4.761904762,156.62,6.93,96.0785,19.7633
756-01-7507,C,C1434,Naypyitaw,,Female,Health and beauty,20.38,6,,122.28,10-11-2019,18:56,Cash,101.9,4.761904762,20.38,6.3,96.0785,19.7633
870-72-4431,C,C1484,Naypyitaw,,Female,Health and beauty,99.19,7,,694.33,13-03-2019,14:42,Credit card,595.14,4.761904762,99.19,5.775,96.0785,19.7633
847-38-7188,B,C1285,Mandalay,,Female,Food and beverages,96.68,4,,386.72,28-10-2019,19:56,Ewallet,290.04,4.761904762,96.68,7.68,96.0891,21.9588
480-63-2856,C,C1471,Naypyitaw,,Male,Food and beverages,19.25,10,,192.5,27-05-2019,18:37,Ewallet,154,4.761904762,38.5,6.93,96.0785,19.7633
787-56-0757,C,C1419,Naypyitaw,,Female,Health and beauty,80.36,5,,401.8,10-05-2019,18:45,Credit card,321.44,4.761904762,80.36,8.715,96.0785,19.7633
360-39-5055,C,C1345,Naypyitaw,,Male,Health and beauty,48.91,6,,293.46,28-06-2019,10:17,Cash,244.55,4.761904762,48.91,6.93,96.0785,19.7633
730-50-9884,C,C1440,Naypyitaw,,Female,Health and beauty,83.06,8,,664.48,22-05-2019,14:31,Ewallet,581.42,4.761904762,83.06,4.2,96.0785,19.7633
362-58-8315,C,C1313,Naypyitaw,Normal,Male,Health and beauty,76.52,6,,459.12,11-03-2019,10:23,Cash,382.6,4.761904762,76.52,10,96.0785,19.7633
633-44-8566,A,C1785,Yangon,Member,Male,Health and beauty,49.38,10,,493.8,03-12-2019,20:35,Credit card,345.66,4.761904762,148.14,7.3,96.1735,16.8409
504-35-8843,A,C1815,Yangon,Normal,Male,Health and beauty,42.47,1,,42.47,31-08-2019,16:57,Cash,42.47,4.761904762,0,5.7,96.1735,16.8409
318-68-5053,B,C1299,Mandalay,Normal,Female,Health and beauty,76.99,8,,615.92,24-04-2019,17:55,Cash,461.94,4.761904762,153.98,7.32,96.0891,21.9588
565-80-5980,C,C1407,Naypyitaw,Member,Female,Home and lifestyle,47.38,7,,331.66,02-02-2019,10:25,Cash,189.52,4.761904762,142.14,7.455,96.0785,19.7633
225-32-0908,C,C1362,Naypyitaw,Normal,Female,Sports and travel,44.86,12,,538.32,15-12-2019,19:54,Ewallet,448.6,4.761904762,89.72,8.61,96.0785,19.7633
873-51-0671,A,C1898,Yangon,Member,Female,Sports and travel,21.98,10,,219.8,19-04-2019,16:42,Ewallet,153.86,4.761904762,65.94,5.1,96.1735,16.8409
152-08-9985,B,C1232,Mandalay,Member,Male,Health and beauty,64.36,18,,1158.48,02-10-2019,12:09,Credit card,579.24,4.761904762,579.24,10,96.0891,21.9588
512-91-0811,C,C1303,Naypyitaw,Normal,Male,Health and beauty,89.75,1,,89.75,02-02-2019,20:05,Credit card,89.75,4.761904762,0,6.93,96.0785,19.7633
594-34-4444,A,C1787,Yangon,Normal,Male,Electronic accessories,97.16,1,,97.16,04-06-2019,20:38,Ewallet,97.16,4.761904762,0,7.2,96.1735,16.8409
766-85-7061,B,C1205,Mandalay,Normal,Male,Health and beauty,87.87,14,,1230.18,02-05-2019,10:25,Ewallet,878.7,4.761904762,351.48,6.12,96.0891,21.9588
871-39-9221,C,C1398,Naypyitaw,Normal,Female,Electronic accessories,12.45,7,,87.15,02-04-2019,13:11,Cash,74.7,4.761904762,12.45,4.305,96.0785,19.7633
865-92-6136,A,C1623,Yangon,Normal,Male,Food and beverages,52.75,3,,158.25,11-03-2019,10:16,Ewallet,158.25,4.761904762,0,9.3,96.1735,16.8409
733-01-9107,B,C1259,Mandalay,Normal,Male,Home and lifestyle,82.7,8,,661.6,20-06-2019,18:14,Cash,496.2,4.761904762,165.4,8.88,96.0891,21.9588
163-56-7055,C,C1353,Naypyitaw,Member,Male,Fashion accessories,48.71,1,,48.71,06-11-2019,19:20,Cash,48.71,4.761904762,0,4.305,96.0785,19.7633
189-98-2939,C,C1310,Naypyitaw,Normal,Male,Fashion accessories,78.55,11,43.2025,864.05,13-12-2019,13:22,Cash,706.95,4.761904762,157.1,7.56,96.0785,19.7633
551-21-3069,C,C1412,Naypyitaw,Normal,Female,Electronic accessories,23.07,11,12.6885,253.77,19-07-2019,11:27,Cash,207.63,4.761904762,46.14,5.145,96.0785,19.7633
212-62-1842,A,C1698,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,349.56,23-05-2019,16:44,Cash,349.56,4.761904762,0,9.9,96.1735,16.8409
716-39-1409,B,C1262,Mandalay,Normal,Male,Health and beauty,30.35,10,15.175,303.5,20-04-2019,18:19,Cash,212.45,4.761904762,91.05,9.6,96.0891,21.9588
704-48-3927,A,C1633,Yangon,Member,Male,Electronic accessories,88.67,14,62.069,1241.38,19-12-2019,14:50,Ewallet,886.7,4.761904762,354.68,7.3,96.1735,16.8409
628-34-3388,C,C1401,Naypyitaw,Normal,,Fashion accessories,27.38,7,9.583,191.66,10-12-2019,20:54,Credit card,164.28,4.761904762,27.38,8.295,96.0785,19.7633
630-74-5166,A,C1822,Yangon,Normal,,Sports and travel,62.13,6,18.639,372.78,30-12-2019,20:19,Cash,372.78,4.761904762,0,7.4,96.1735,16.8409
588-01-7461,C,C1333,Naypyitaw,Normal,,Food and beverages,33.98,11,18.689,373.78,27-03-2019,10:43,Cash,305.82,4.761904762,67.96,4.41,96.0785,19.7633
861-77-0145,C,C1498,Naypyitaw,Member,,Electronic accessories,81.97,17,69.6745,1393.49,16-02-2019,14:30,Cash,819.7,4.761904762,573.79,,96.0785,19.7633
479-26-8945,B,C1270,Mandalay,Member,,Sports and travel,16.49,4,3.298,65.96,15-09-2019,11:32,Ewallet,32.98,4.761904762,32.98,,96.0891,21.9588
210-67-5886,C,C1334,Naypyitaw,Member,,Health and beauty,98.21,6,29.463,589.26,25-10-2019,10:41,Credit card,294.63,4.761904762,294.63,,96.0785,19.7633
227-78-1148,B,C1220,Mandalay,Normal,,Fashion accessories,72.84,10,36.42,728.4,16-07-2019,12:44,Cash,509.88,4.761904762,218.52,,96.0891,21.9588
645-44-1170,A,C1640,Yangon,Member,Male,Home and lifestyle,58.07,13,37.7455,754.91,27-10-2019,20:07,Ewallet,522.63,4.761904762,232.28,,96.1735,16.8409
237-01-6122,C,C1395,Naypyitaw,Member,Female,Home and lifestyle,80.79,15,60.5925,1211.85,01-09-2019,20:31,Credit card,727.11,4.761904762,484.74,,96.0785,19.7633
225-98-1496,C,C1350,Naypyitaw,Normal,Female,Health and beauty,27.02,4,5.404,108.08,11-08-2019,13:01,Credit card,81.06,4.761904762,27.02,,96.0785,19.7633
291-32-1427,B,C1223,Mandalay,Member,Male,Health and beauty,21.94,10,10.97,219.4,03-12-2019,12:29,Ewallet,109.7,4.761904762,109.7,,96.0891,21.9588
659-65-8956,B,C1279,Mandalay,Member,Male,Health and beauty,51.36,1,2.568,51.36,22-02-2019,15:26,Ewallet,51.36,4.761904762,0,,96.0891,21.9588
642-32-2990,A,C1619,Yangon,Normal,Female,Health and beauty,10.96,10,5.48,109.6,12-07-2019,20:48,Ewallet,109.6,4.761904762,0,,96.1735,16.8409
378-24-2715,B,C1262,Mandalay,Normal,Male,Home and lifestyle,53.44,3,8.016,160.32,27-04-2019,20:38,Ewallet,106.88,4.761904762,53.44,,96.0891,21.9588
638-60-7125,A,C1706,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,796.48,02-04-2019,17:03,Credit card,796.48,4.761904762,0,,96.1735,16.8409
659-36-1684,C,C1453,Naypyitaw,Normal,Male,Sports and travel,57.12,8,22.848,456.96,24-12-2019,12:02,Credit card,399.84,4.761904762,57.12,,96.0785,19.7633
219-22-9386,B,C1242,Mandalay,Normal,Male,Sports and travel,99.96,13,64.974,1299.48,10-09-2019,17:26,Credit card,899.64,4.761904762,399.84,,96.0891,21.9588
336-78-2147,C,C1417,Naypyitaw,Normal,Male,Home and lifestyle,63.91,10,31.955,639.1,16-09-2019,19:52,Credit card,511.28,4.761904762,127.82,,96.0785,19.7633
268-27-6179,B,C1264,Mandalay,Normal,Female,Fashion accessories,56.47,11,,621.17,11-06-2019,14:57,Ewallet,451.76,4.761904762,169.41,,96.0891,21.9588
668-90-8900,A,C1846,Yangon,Normal,Female,Home and lifestyle,93.69,7,,655.83,25-03-2019,18:44,Credit card,655.83,4.761904762,0,,96.1735,16.8409
870-54-3162,A,C1627,Yangon,Normal,Female,Sports and travel,32.25,5,,161.25,29-11-2019,13:26,Cash,161.25,4.761904762,0,9,96.1735,16.8409
189-08-9157,C,C1454,Naypyitaw,Normal,Female,Fashion accessories,31.73,11,,349.03,04-05-2019,16:17,Credit card,285.57,4.761904762,63.46,6.195,96.0785,19.7633
663-86-9076,C,C1456,Naypyitaw,Normal,Female,Food and beverages,68.54,10,,685.4,12-06-2019,15:57,Ewallet,548.32,4.761904762,137.08,8.925,96.0785,19.7633
549-84-7482,B,C1252,Mandalay,Normal,Female,Sports and travel,90.28,13,,1173.64,31-03-2019,11:15,,812.52,4.761904762,361.12,8.64,96.0891,21.9588
191-10-6171,B,C1247,Mandalay,Normal,Female,Fashion accessories,39.62,10,,396.2,04-04-2019,13:18,,277.34,4.761904762,118.86,9,96.0891,21.9588
802-70-5316,A,C1742,Yangon,Normal,Female,Sports and travel,92.13,6,,552.78,13-08-2019,20:34,,552.78,4.761904762,0,8.3,96.1735,16.8409
695-51-0018,B,C1222,Mandalay,Normal,Female,Sports and travel,34.84,6,,209.04,11-01-2019,18:36,,139.36,4.761904762,69.68,8.88,96.0891,21.9588
590-83-4591,B,C1258,Mandalay,Normal,Male,Electronic accessories,87.45,8,,699.6,25-02-2019,14:40,,524.7,4.761904762,174.9,10,96.0891,21.9588
483-71-1164,C,C1340,Naypyitaw,Normal,Female,Health and beauty,81.3,7,,569.1,23-10-2019,16:43,,487.8,4.761904762,81.3,5.565,96.0785,19.7633
597-78-7908,C,C1300,Naypyitaw,Normal,Male,Fashion accessories,90.22,4,,360.88,26-06-2019,19:39,,270.66,4.761904762,90.22,6.51,96.0785,19.7633
700-81-1757,A,C1815,Yangon,Normal,Female,Electronic accessories,26.31,5,,131.55,22-01-2019,20:59,,131.55,4.761904762,0,8.8,96.1735,16.8409
354-39-5160,A,C1632,Yangon,Normal,Female,Home and lifestyle,34.42,6,,206.52,14-02-2019,15:39,,206.52,4.761904762,0,9.8,96.1735,16.8409
241-72-9525,B,C1260,Mandalay,Normal,Male,Sports and travel,51.91,14,,726.74,11-01-2019,12:21,Cash,519.1,4.761904762,207.64,9.84,96.0891,21.9588
575-30-8091,A,C1706,Yangon,,Male,Sports and travel,72.5,8,29,580,21-04-2019,19:25,Ewallet,580,4.761904762,0,9.2,96.1735,16.8409
731-81-9469,C,C1331,Naypyitaw,,Female,Sports and travel,89.8,12,53.88,1077.6,28-02-2019,13:00,Credit card,898,4.761904762,179.6,5.67,96.0785,19.7633
280-17-4359,C,C1492,Naypyitaw,,Male,Health and beauty,90.5,12,54.3,1086,27-08-2019,13:48,Cash,905,4.761904762,181,8.505,96.0785,19.7633
338-65-2210,C,C1421,Naypyitaw,,Female,Health and beauty,68.6,12,41.16,823.2,23-11-2019,19:57,Cash,686,4.761904762,137.2,9.555,96.0785,19.7633
488-25-4221,C,C1414,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,30.41,16-08-2019,10:36,Credit card,30.41,4.761904762,0,8.82,96.0785,19.7633
239-10-7476,A,C1860,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,467.7,27-11-2019,16:37,Ewallet,467.7,4.761904762,0,8,96.1735,16.8409
458-41-1477,C,C1364,Naypyitaw,Normal,Female,Health and beauty,46.26,7,16.191,323.82,19-02-2019,17:11,Credit card,277.56,4.761904762,46.26,9.975,96.0785,19.7633
685-64-1609,A,C1732,Yangon,Member,Female,Fashion accessories,30.14,14,21.098,421.96,04-05-2019,12:28,Ewallet,301.4,4.761904762,120.56,9.2,96.1735,16.8409
568-90-5112,C,C1489,Naypyitaw,Normal,Male,Health and beauty,66.14,5,16.535,330.7,12-04-2019,12:46,Credit card,264.56,4.761904762,66.14,5.88,96.0785,19.7633
262-47-2794,B,C1299,Mandalay,Member,Male,Home and lifestyle,71.86,15,53.895,1077.9,05-01-2019,15:07,Credit card,574.88,4.761904762,503.02,7.44,96.0891,21.9588
238-49-0436,A,C1736,Yangon,Normal,Male,Health and beauty,32.46,8,12.984,259.68,12-01-2019,13:48,Credit card,259.68,4.761904762,0,4.9,96.1735,16.8409
608-96-3517,B,C1296,Mandalay,Member,Female,Health and beauty,91.54,8,,732.32,22-07-2019,19:20,Credit card,366.16,4.761904762,366.16,5.76,96.0891,21.9588
584-86-7256,C,C1391,Naypyitaw,Member,Male,Health and beauty,34.56,11,,380.16,26-08-2019,16:07,Credit card,241.92,4.761904762,138.24,7.665,96.0785,19.7633
746-94-0204,A,C1894,Yangon,Normal,Male,Health and beauty,83.24,9,,749.16,25-01-2019,11:56,Credit card,749.16,4.761904762,0,7.4,96.1735,16.8409
214-17-6927,C,C1403,Naypyitaw,Normal,Female,Health and beauty,16.48,7,,115.36,10-10-2019,18:23,Ewallet,98.88,4.761904762,16.48,10,96.0785,19.7633
400-89-4171,C,C1334,Naypyitaw,Normal,Female,Health and beauty,80.97,10,,809.7,27-12-2019,13:05,Cash,647.76,4.761904762,161.94,9.765,96.0785,19.7633
782-95-9291,A,C1647,Yangon,Member,Male,Health and beauty,92.29,7,,646.03,31-12-2019,15:55,Credit card,461.45,4.761904762,184.58,9,96.1735,16.8409
279-74-2924,B,C1291,Mandalay,Member,Male,Health and beauty,72.17,1,,72.17,21-11-2019,19:40,Cash,72.17,4.761904762,0,7.32,96.0891,21.9588
